Query,Location,Price_Category,Amenities
"cheap boarding house in badulla with gym, pet friendly, wifi",badulla,cheap,"gym, pet friendly, wifi"
"affordable boarding house in matara with air conditioning, gym",matara,affordable,"air conditioning, gym"
"cheap boarding house in puttalam with parking, tv",puttalam,cheap,"parking, tv"
"affordable boarding house in kurunegala with balcony, hot water",kurunegala,affordable,"balcony, hot water"
expensive boarding house in trincomalee with gym,trincomalee,expensive,gym
"affordable boarding house in kaduwela with parking, balcony",kaduwela,affordable,"parking, balcony"
expensive boarding house in nuwara eliya with kitchen,nuwara eliya,expensive,kitchen
expensive boarding house in puttalam with pet friendly,puttalam,expensive,pet friendly
"expensive boarding house in trincomalee with hot water, breakfast",trincomalee,expensive,"hot water, breakfast"
expensive boarding house in colombo with pet friendly,colombo,expensive,pet friendly
"affordable boarding house in colombo with security, wifi, breakfast",colombo,affordable,"security, wifi, breakfast"
"affordable boarding house in batticaloa with air conditioning, hot water",batticaloa,affordable,"air conditioning, hot water"
affordable boarding house in hambantota with garden,hambantota,affordable,garden
"cheap boarding house in polonnaruwa with balcony, parking",polonnaruwa,cheap,"balcony, parking"
expensive boarding house in jaffna with parking,jaffna,expensive,parking
expensive boarding house in kurunegala with breakfast,kurunegala,expensive,breakfast
"cheap boarding house in jaffna with air conditioning, wifi",jaffna,cheap,"air conditioning, wifi"
expensive boarding house in kandy with laundry,kandy,expensive,laundry
"affordable boarding house in matara with garden, pet friendly, parking",matara,affordable,"garden, pet friendly, parking"
affordable boarding house in ratnapura with air conditioning,ratnapura,affordable,air conditioning
"expensive boarding house in kandy with garden, air conditioning",kandy,expensive,"garden, air conditioning"
"cheap boarding house in vavuniya with security, balcony, laundry",vavuniya,cheap,"security, balcony, laundry"
"expensive boarding house in matara with balcony, wifi, laundry",matara,expensive,"balcony, wifi, laundry"
affordable boarding house in kandy with laundry,kandy,affordable,laundry
affordable boarding house in batticaloa with tv,batticaloa,affordable,tv
"affordable boarding house in colombo with hot water, breakfast",colombo,affordable,"hot water, breakfast"
expensive boarding house in colombo with security,colombo,expensive,security
"affordable boarding house in negombo with laundry, garden, kitchen",negombo,affordable,"laundry, garden, kitchen"
cheap boarding house in matara with air conditioning,matara,cheap,air conditioning
expensive boarding house in trincomalee with hot water,trincomalee,expensive,hot water
"expensive boarding house in galle with kitchen, tv, hot water",galle,expensive,"kitchen, tv, hot water"
cheap boarding house in jaffna with gym,jaffna,cheap,gym
"cheap boarding house in vavuniya with breakfast, pet friendly",vavuniya,cheap,"breakfast, pet friendly"
"affordable boarding house in negombo with hot water, pet friendly",negombo,affordable,"hot water, pet friendly"
"affordable boarding house in vavuniya with parking, security, kitchen",vavuniya,affordable,"parking, security, kitchen"
"affordable boarding house in kurunegala with kitchen, wifi, breakfast",kurunegala,affordable,"kitchen, wifi, breakfast"
"affordable boarding house in batticaloa with air conditioning, breakfast",batticaloa,affordable,"air conditioning, breakfast"
"cheap boarding house in hambantota with gym, breakfast",hambantota,cheap,"gym, breakfast"
"affordable boarding house in kandy with breakfast, garden, parking",kandy,affordable,"breakfast, garden, parking"
"affordable boarding house in batticaloa with laundry, garden",batticaloa,affordable,"laundry, garden"
"cheap boarding house in colombo with kitchen, garden",colombo,cheap,"kitchen, garden"
expensive boarding house in vavuniya with breakfast,vavuniya,expensive,breakfast
expensive boarding house in kandy with parking,kandy,expensive,parking
"cheap boarding house in jaffna with wifi, laundry, security",jaffna,cheap,"wifi, laundry, security"
expensive boarding house in ratnapura with tv,ratnapura,expensive,tv
"affordable boarding house in kandy with breakfast, garden",kandy,affordable,"breakfast, garden"
"affordable boarding house in puttalam with pet friendly, balcony",puttalam,affordable,"pet friendly, balcony"
"expensive boarding house in colombo with tv, hot water",colombo,expensive,"tv, hot water"
"cheap boarding house in kaduwela with breakfast, parking, gym",kaduwela,cheap,"breakfast, parking, gym"
"cheap boarding house in jaffna with gym, security, air conditioning",jaffna,cheap,"gym, security, air conditioning"
"expensive boarding house in matara with tv, garden, wifi",matara,expensive,"tv, garden, wifi"
"affordable boarding house in puttalam with wifi, air conditioning",puttalam,affordable,"wifi, air conditioning"
"expensive boarding house in galle with gym, kitchen",galle,expensive,"gym, kitchen"
"expensive boarding house in matara with gym, tv, air conditioning",matara,expensive,"gym, tv, air conditioning"
"affordable boarding house in puttalam with pet friendly, breakfast, tv",puttalam,affordable,"pet friendly, breakfast, tv"
cheap boarding house in trincomalee with parking,trincomalee,cheap,parking
"cheap boarding house in galle with air conditioning, security",galle,cheap,"air conditioning, security"
"cheap boarding house in galle with parking, balcony, breakfast",galle,cheap,"parking, balcony, breakfast"
"affordable boarding house in polonnaruwa with breakfast, wifi",polonnaruwa,affordable,"breakfast, wifi"
expensive boarding house in jaffna with garden,jaffna,expensive,garden
"cheap boarding house in nuwara eliya with breakfast, tv",nuwara eliya,cheap,"breakfast, tv"
"affordable boarding house in kurunegala with pet friendly, air conditioning",kurunegala,affordable,"pet friendly, air conditioning"
"expensive boarding house in kandy with breakfast, wifi",kandy,expensive,"breakfast, wifi"
"expensive boarding house in badulla with laundry, garden, air conditioning",badulla,expensive,"laundry, garden, air conditioning"
"expensive boarding house in jaffna with garden, pet friendly",jaffna,expensive,"garden, pet friendly"
cheap boarding house in batticaloa with gym,batticaloa,cheap,gym
"cheap boarding house in kurunegala with air conditioning, garden",kurunegala,cheap,"air conditioning, garden"
affordable boarding house in jaffna with air conditioning,jaffna,affordable,air conditioning
"cheap boarding house in nuwara eliya with hot water, parking",nuwara eliya,cheap,"hot water, parking"
cheap boarding house in vavuniya with air conditioning,vavuniya,cheap,air conditioning
"affordable boarding house in kurunegala with breakfast, tv",kurunegala,affordable,"breakfast, tv"
"expensive boarding house in trincomalee with parking, air conditioning",trincomalee,expensive,"parking, air conditioning"
expensive boarding house in vavuniya with wifi,vavuniya,expensive,wifi
"expensive boarding house in jaffna with gym, pet friendly, air conditioning",jaffna,expensive,"gym, pet friendly, air conditioning"
affordable boarding house in batticaloa with air conditioning,batticaloa,affordable,air conditioning
"cheap boarding house in ratnapura with gym, hot water, kitchen",ratnapura,cheap,"gym, hot water, kitchen"
expensive boarding house in vavuniya with kitchen,vavuniya,expensive,kitchen
"cheap boarding house in matara with gym, air conditioning, garden",matara,cheap,"gym, air conditioning, garden"
"affordable boarding house in anuradhapura with tv, garden, hot water",anuradhapura,affordable,"tv, garden, hot water"
expensive boarding house in galle with garden,galle,expensive,garden
"cheap boarding house in kaduwela with parking, gym",kaduwela,cheap,"parking, gym"
"affordable boarding house in kandy with breakfast, parking",kandy,affordable,"breakfast, parking"
"expensive boarding house in galle with gym, tv, parking",galle,expensive,"gym, tv, parking"
"cheap boarding house in jaffna with air conditioning, pet friendly",jaffna,cheap,"air conditioning, pet friendly"
"expensive boarding house in ratnapura with gym, garden, pet friendly",ratnapura,expensive,"gym, garden, pet friendly"
expensive boarding house in vavuniya with balcony,vavuniya,expensive,balcony
affordable boarding house in jaffna with breakfast,jaffna,affordable,breakfast
affordable boarding house in hambantota with gym,hambantota,affordable,gym
"cheap boarding house in anuradhapura with gym, tv",anuradhapura,cheap,"gym, tv"
cheap boarding house in batticaloa with wifi,batticaloa,cheap,wifi
expensive boarding house in hambantota with tv,hambantota,expensive,tv
affordable boarding house in kurunegala with laundry,kurunegala,affordable,laundry
affordable boarding house in vavuniya with hot water,vavuniya,affordable,hot water
"affordable boarding house in anuradhapura with parking, tv",anuradhapura,affordable,"parking, tv"
"affordable boarding house in nuwara eliya with kitchen, tv, balcony",nuwara eliya,affordable,"kitchen, tv, balcony"
"affordable boarding house in kaduwela with kitchen, tv, pet friendly",kaduwela,affordable,"kitchen, tv, pet friendly"
cheap boarding house in kandy with tv,kandy,cheap,tv
"cheap boarding house in vavuniya with pet friendly, air conditioning",vavuniya,cheap,"pet friendly, air conditioning"
"expensive boarding house in colombo with air conditioning, breakfast",colombo,expensive,"air conditioning, breakfast"
"cheap boarding house in matara with breakfast, garden",matara,cheap,"breakfast, garden"
